dataset,method,mae,rmse,max_err,n
mars__noise1e2,pnd_butter_oracle,0.00016304876664152587,0.0002317817400455285,0.0011509103893670054,219
mars__noise1e2,pnd_savgol_oracle,0.00013625484598124452,0.00018461682999188059,0.0006520089118307506,219
mars__noise1e2,pnd_median_oracle,0.0014242162730628716,0.0023754032192753916,0.01815946246091725,219
mars__outliers5pct,ALPRD_v2.0,2.305155676235306e-05,3.5009067048917284e-05,0.0001401266050643996,219
mars__outliers5pct,savgol_default,0.04566244909286508,0.08773511732382097,0.37697004363569114,219
mars__outliers5pct,drv_savgol_oracle,0.011852116728231773,0.03465263182913409,0.4772555110547648,219
mars__outliers5pct,drv_spline_oracle,0.28650942441968874,0.779484231009185,4.618306039790885,219
mars__outliers5pct,drv_kalman_oracle,0.1412067568972496,0.3897156916660706,1.787222259106165,219
mars__outliers5pct,pnd_butter_oracle,0.004120531987478499,0.0055477032749589,0.01638733371213208,219
mars__outliers5pct,pnd_savgol_oracle,0.0028645553441429355,0.003565798498131844,0.008104781203906961,219
mars__outliers5pct,pnd_median_oracle,0.001606551544898745,0.0039704080756172875,0.026809052723122763,219
