max_err,mae,rmse,median_rel_err,runtime_s,mem_bytes,dataset,method,n_points,status
6.039613253960852e-14,9.880984919163893e-15,1.569376333208763e-14,2.3169871818264137e-15,1.3199984095990658e-05,4800,constant_velocity__clean_uniform,forward_diff,200,ok
6.039613253960852e-14,9.880984919163893e-15,1.569376333208763e-14,2.3169871818264137e-15,6.600050255656242e-06,4800,constant_velocity__clean_uniform,backward_diff,200,ok
3.064215547965432e-14,5.88640247656258e-15,8.563382723737958e-15,2.123904916674213e-15,1.4499993994832039e-05,4800,constant_velocity__clean_uniform,central_diff,200,ok
1.8207657603852567e-13,4.8920867357082896e-14,5.939950083871936e-14,2.046672010613332e-14,0.004243200062774122,4800,constant_velocity__clean_uniform,high_order_fd,200,ok
8.837375276016246e-14,9.51017042893909e-15,1.4852211581135654e-14,2.6066105795547155e-15,0.724012199905701,4800,constant_velocity__clean_uniform,cubic_spline,200,ok
1.532107773982716e-13,7.975842208907125e-15,1.6701179095278617e-14,1.9308226515220117e-15,0.5101814999943599,4800,constant_velocity__clean_uniform,savgol_resampled,200,ok
7.238654120556021e-14,3.0468960687812796e-14,3.701685356785975e-14,1.2743429500045276e-14,0.0006320999236777425,4800,constant_velocity__clean_uniform,savgol_matched,200,ok
5.355715870791755e-13,8.348877145181177e-15,4.2733567313334333e-14,4.827056628805028e-16,0.01185440004337579,4800,constant_velocity__clean_uniform,ALPRD_v1.0,200,ok
4.169997680492088e-13,6.654676809603188e-15,3.3277293863022697e-14,3.861645303044023e-16,0.01493299996946007,4800,constant_velocity__clean_uniform,ALPRD_v1.0_fast,200,ok
2.362554596402333e-13,8.770761894538737e-15,2.7984421712665746e-14,3.861645303044023e-16,0.14403299998957664,4800,constant_velocity__clean_uniform,ALPRD_v1.1,200,ok
5.2062847366585174e-09,1.919897574254037e-10,7.051617605850469e-10,1.992608976370716e-12,0.07155549991875887,4800,constant_velocity__clean_uniform,ALPRD_v1.2,200,ok
1.580355846186876e-09,7.623545128510046e-11,1.3666201720591197e-10,2.7267656731589305e-11,0.03299209999386221,4800,constant_velocity__clean_uniform,ALPRD_v1.3,200,ok
1.580355846186876e-09,7.623545128510046e-11,1.3666201720591197e-10,2.7267656731589305e-11,0.03303269995376468,4800,constant_velocity__clean_uniform,ALPRD_v1.4,200,ok
