dataset,method,grid_runtime_s,n_points,status,mae,rmse,max_err,config
constant_acceleration__uneven_gaussian,drv_spline,0.009192699915729463,200,ok,0.0014859699542137295,0.0018006891580585873,0.004854441506882523,3
constant_acceleration__uneven_gaussian,drv_kalman,0.07683899998664856,200,ok,0.047182665310139954,0.08116812073827875,0.4873863192322849,1
constant_acceleration__uneven_gaussian,pnd_savgol,0.007975799962878227,200,ok,0.032583095742590426,0.06949544407932,0.4563053963557113,3
constant_acceleration__uneven_gaussian,pnd_butter,0.0014584000455215573,200,ok,0.08277876885187821,0.1846401238062707,1.2241736338802696,1
constant_acceleration__uneven_gaussian,pnd_spectral,0.0008072999771684408,200,ok,0.6492541702166106,1.7459088157462241,10.524139722260738,0
constant_acceleration__uneven_gaussian,pnd_median,0.0006102999905124307,200,ok,0.6043542895970655,1.8949390870120666,17.499999999999858,0
constant_acceleration__uneven_gaussian,pnd_tvr,0.060401299968361855,200,ok,0.13924095525831123,0.1673601499070448,0.39771987357543637,0
constant_acceleration__uneven_uniformnoise,drv_savgol,0.15317860001232475,200,ok,0.005791624286939228,0.010117687273609668,0.03336032790071686,6
constant_acceleration__uneven_uniformnoise,drv_spline,0.007609199965372682,200,ok,0.003740396033333981,0.004852790559135531,0.0134589772547411,2
constant_acceleration__uneven_uniformnoise,drv_kalman,0.075271200039424,200,ok,0.03238451873301674,0.08384706326144309,0.4970858491232565,1
constant_acceleration__uneven_uniformnoise,pnd_savgol,0.0076997000724077225,200,ok,0.02486505863443214,0.04820886010354485,0.33339283447198653,2
constant_acceleration__uneven_uniformnoise,pnd_butter,0.0015662999358028173,200,ok,0.06543788402615369,0.1689663260790457,1.2473662412020161,1
constant_acceleration__uneven_uniformnoise,pnd_spectral,0.0007871999405324459,200,ok,0.6521690009466543,1.750632120796412,10.548294223864744,0
constant_acceleration__uneven_uniformnoise,pnd_median,0.000672499998472631,200,ok,0.4317008189446036,1.8492525034467042,17.5,0
constant_acceleration__uneven_uniformnoise,pnd_tvr,0.05293360003270209,200,ok,0.10410732448535395,0.1274054481843905,0.3571779964200559,0
constant_acceleration__uneven_outliers,drv_savgol,0.15371300000697374,200,ok,3.472404811903499,7.257398496941779,43.96647520496286,6
constant_acceleration__uneven_outliers,drv_spline,0.013802899979054928,200,ok,288.2012845306077,1159.6691151451976,9679.906653641174,5
constant_acceleration__uneven_outliers,drv_kalman,0.07642890000715852,200,ok,3.8005442308133386,4.649766706127162,9.176097245059523,3
constant_acceleration__uneven_outliers,pnd_savgol,0.008322299923747778,200,ok,3.9673061995354875,5.842496095936441,19.261787878248015,4
constant_acceleration__uneven_outliers,pnd_butter,0.001626300043426454,200,ok,6.099338426658202,9.47339007592821,51.81612175738527,0
constant_acceleration__uneven_outliers,pnd_spectral,0.0007996999192982912,200,ok,7.165416888292659,8.813545195040353,19.72742339415675,0
constant_acceleration__uneven_outliers,pnd_median,0.0006952000549063087,200,ok,9.109863497548934,44.22385955584139,297.0121210022076,0
constant_acceleration__uneven_outliers,pnd_tvr,0.197649700101465,200,ok,44.02528886175475,107.62880782931376,554.9131607448102,2
constant_acceleration__missing_noisy,drv_savgol,0.11857509997207671,156,ok,0.009261207698664457,0.015329004510065731,0.07240959708403238,6
constant_acceleration__missing_noisy,drv_spline,0.006441600038670003,156,ok,0.0012734728808169932,0.0015001988419474606,0.0039073397861173476,2
constant_acceleration__missing_noisy,drv_kalman,0.060919900075532496,156,ok,0.05208529485519577,0.0985912729086022,0.5918466476952127,1
constant_acceleration__missing_noisy,pnd_savgol,0.008254599990323186,156,ok,0.03236313915003205,0.05809039191769911,0.427885799252273,2
constant_acceleration__missing_noisy,pnd_butter,0.0016559000359848142,156,ok,0.06757008638606236,0.17094203059421845,1.1822655973504155,1
constant_acceleration__missing_noisy,pnd_spectral,0.0009229000424966216,156,ok,0.7792425350167901,1.8835574814419893,10.428218467262859,0
constant_acceleration__missing_noisy,pnd_median,0.0006137000164017081,156,ok,0.5238890894000786,1.756862500070973,17.49999999999989,0
constant_acceleration__missing_noisy,pnd_tvr,0.05078599997796118,156,ok,0.13470085244134505,0.1641886198942247,0.4247131035992413,0
polynomial__clean_uniform,drv_savgol,0.15363559999968857,200,ok,4.1331160595964866e-05,0.00019804411933262676,0.0010985386896891214,1
polynomial__clean_uniform,drv_spline,0.006570199970155954,200,ok,0.029851251362241614,0.07020845958107128,0.46994734463742205,0
polynomial__clean_uniform,drv_kalman,0.08952199993655086,200,ok,0.9262399058692058,5.437096895194292,54.516696471117825,0
polynomial__clean_uniform,pnd_savgol,0.0077006000792607665,200,ok,0.1552460055024664,0.8375612991753694,11.210027862481411,0
polynomial__clean_uniform,pnd_butter,0.0014688000082969666,200,ok,0.047681042868530206,0.34406575655465943,4.573572307045765,3
polynomial__clean_uniform,pnd_spectral,0.0008158000418916345,200,ok,31.97834911924343,100.15721668475044,757.3752958873624,1
polynomial__clean_uniform,pnd_median,0.0006313999183475971,200,ok,10.958600018856485,92.81082635317958,884.0000000000023,0
polynomial__clean_uniform,pnd_tvr,0.23320889996830374,200,ok,0.13115211462532655,1.0446614305388597,13.436673642507344,0
polynomial__uneven_clean,drv_savgol,0.15269540005829185,200,ok,0.0004673578057880623,0.000576768046430813,0.0016489626024949189,1
polynomial__uneven_clean,drv_spline,0.006465499987825751,200,ok,0.028858690824858136,0.06897131258171688,0.4604153578330803,0
polynomial__uneven_clean,drv_kalman,0.07766129996161908,200,ok,0.8999161757201005,5.359170867980017,53.15918313390421,0
polynomial__uneven_clean,pnd_savgol,0.0073890999192371964,200,ok,0.20641428155207653,0.992701149476952,12.109198296027216,0
polynomial__uneven_clean,pnd_butter,0.0017185000469908118,200,ok,0.12452234110307049,0.44198692005481144,3.400725456638156,2
polynomial__uneven_clean,pnd_spectral,0.0008038999512791634,200,ok,31.653349612981163,125.1226735399169,1193.6696790849885,2
polynomial__uneven_clean,pnd_median,0.0006624000379815698,200,ok,11.020416432985039,92.16141619150649,884.0000000000023,0
polynomial__uneven_clean,pnd_tvr,0.22072660003323108,200,ok,0.37395993618472445,1.2161686126751428,13.503603463740205,0
polynomial__uneven_gaussian,drv_savgol,0.15241939993575215,200,ok,0.04064334806817367,0.05473170645632237,0.30865802327831404,5
polynomial__uneven_gaussian,drv_spline,0.009276899974793196,200,ok,0.06903720117334636,0.08272944178659869,0.25341375173309766,2
polynomial__uneven_gaussian,drv_kalman,0.07392969995271415,200,ok,0.9353560535594779,5.3494602043669985,53.082796350859894,0
polynomial__uneven_gaussian,pnd_savgol,0.007463000016286969,200,ok,0.3008527626243669,1.0016053846386446,11.894284209591092,0
polynomial__uneven_gaussian,pnd_butter,0.00169039994943887,200,ok,0.19947925244325654,0.4610794365912904,3.3052302550123613,2
polynomial__uneven_gaussian,pnd_spectral,0.0007821000181138515,200,ok,31.653368864372563,125.13920724693365,1193.8172053239932,2
polynomial__uneven_gaussian,pnd_median,0.0008111000061035156,200,ok,11.266901493989726,92.1568863988009,883.9999999999977,0
polynomial__uneven_gaussian,pnd_tvr,0.23301299999002367,200,ok,0.5369733980751819,1.3236292477391014,14.067636035722217,0
polynomial__uneven_uniformnoise,drv_savgol,0.15290929994080216,200,ok,0.019942849323869763,0.028372846601978557,0.11255497352203747,5
polynomial__uneven_uniformnoise,drv_spline,0.008668499998748302,200,ok,0.13164318541350073,0.21501202009432965,1.0948335719458933,2
polynomial__uneven_uniformnoise,drv_kalman,0.08123030001297593,200,ok,0.9266936435092858,5.36426936113766,53.193796259735564,0
polynomial__uneven_uniformnoise,pnd_savgol,0.00755780003964901,200,ok,0.24532413943726716,1.00763299239287,12.212730163873857,0
polynomial__uneven_uniformnoise,pnd_butter,0.001478399964980781,200,ok,0.16617759470227297,0.43893466743368614,3.3071659491022274,2
polynomial__uneven_uniformnoise,pnd_spectral,0.0007492000004276633,200,ok,31.65277355270227,125.13112668032502,1193.7490404246878,2
polynomial__uneven_uniformnoise,pnd_median,0.0006305000279098749,200,ok,11.138235057906822,92.1579704059338,884.0000000000045,0
polynomial__uneven_uniformnoise,pnd_tvr,0.22241069993469864,200,ok,0.44094231005435963,1.2765313278586419,14.071473001590903,0
polynomial__uneven_outliers,drv_savgol,0.15377400000579655,200,ok,70.39390101753811,141.78336484179476,848.9525049845201,6
polynomial__uneven_outliers,drv_spline,0.0171347000868991,200,ok,5567.690935768229,22749.983421014724,191616.5049946964,3
polynomial__uneven_outliers,drv_kalman,0.08368550008162856,200,ok,80.47780615963245,104.8802990049233,332.1332190525085,3
polynomial__uneven_outliers,pnd_savgol,0.01035950006917119,200,ok,80.50262833337246,120.14294851211625,385.0094272602223,4
polynomial__uneven_outliers,pnd_butter,0.001623300020582974,200,ok,125.39659861629636,188.48313712776704,994.9840481396004,0
polynomial__uneven_outliers,pnd_spectral,0.0008196000708267093,200,ok,153.53755449046534,191.27241495398192,557.26514797152,0
polynomial__uneven_outliers,pnd_median,0.0007087999256327748,200,ok,147.41088364398829,757.4050503711136,8794.250796002258,3
polynomial__uneven_outliers,pnd_tvr,0.19425699999555945,200,ok,1084.107825666245,3204.385264889206,14449.11426242269,2
polynomial__missing_noisy,drv_savgol,0.1219480000436306,156,ok,0.04235012006207099,0.07253450567603861,0.6915575610020266,5
polynomial__missing_noisy,drv_spline,0.006907000089995563,156,ok,0.10799674990762512,0.18059204884955712,1.1229654650856378,2
polynomial__missing_noisy,drv_kalman,0.054534299997612834,156,ok,1.0842624883960776,5.892671401703837,59.82922566647892,0
polynomial__missing_noisy,pnd_savgol,0.008259700029157102,156,ok,0.3888262864112772,1.2072862885147515,14.00797973953945,0
polynomial__missing_noisy,pnd_butter,0.0016275999369099736,156,ok,0.24211507649809574,0.48468589093486625,2.6571175229362325,2
polynomial__missing_noisy,pnd_spectral,0.0010387999936938286,156,ok,34.13025677766285,121.81321412415421,1170.7365516469572,2
polynomial__missing_noisy,pnd_median,0.0006785999285057187,156,ok,11.016338928335452,85.79603858306209,883.9999999999982,0
polynomial__missing_noisy,pnd_tvr,0.21445269999094307,156,ok,0.7174690207180199,1.6598382760792965,15.140243605318915,0
sinusoidal__clean_uniform,drv_savgol,0.15093409991823137,200,ok,0.00022649229762699552,0.0003486247208392108,0.0017575650633743223,1
sinusoidal__clean_uniform,drv_spline,0.006334800040349364,200,ok,0.03390244103979677,0.048722772174636525,0.262565900332294,0
sinusoidal__clean_uniform,drv_kalman,0.07831749995239079,200,ok,0.028079386815675483,0.08254624791044866,0.5507780768580361,0
sinusoidal__clean_uniform,pnd_savgol,0.008243999909609556,200,ok,0.015702661818117053,0.018915955444932395,0.09099962204714052,0
sinusoidal__clean_uniform,pnd_butter,0.001617399975657463,200,ok,0.0026397207820108457,0.003907115230853036,0.029823692530163814,3
sinusoidal__clean_uniform,pnd_spectral,0.0008106000022962689,200,ok,0.09960277804521152,0.38833348778416543,3.582727351867323,3
sinusoidal__clean_uniform,pnd_median,0.0006891000084578991,200,ok,0.01129291440866798,0.028271903575496506,0.11117024062831068,0
sinusoidal__clean_uniform,pnd_tvr,0.053556500002741814,200,ok,0.008388745554365348,0.02236426333080924,0.18952911618771706,0
sinusoidal__uneven_clean,drv_savgol,0.15423529990948737,200,ok,0.000745633844344844,0.0009638186201343425,0.003146147525253662,1
sinusoidal__uneven_clean,drv_spline,0.006430799956433475,200,ok,0.032750361074815604,0.04569264046017717,0.2278894313819868,0
sinusoidal__uneven_clean,drv_kalman,0.11560460005421191,200,ok,0.027886088882282917,0.08121969589238738,0.5353049276668187,0
sinusoidal__uneven_clean,pnd_savgol,0.007833199924789369,200,ok,0.0199072248139046,0.02338053396044721,0.09995240552582141,0
sinusoidal__uneven_clean,pnd_butter,0.0015676000621169806,200,ok,0.00822708211414482,0.012898430260351486,0.09369730984056801,2
sinusoidal__uneven_clean,pnd_spectral,0.0008191000670194626,200,ok,0.09933521135845153,0.40884447215479514,3.5838017828511863,3
sinusoidal__uneven_clean,pnd_median,0.0006829999620094895,200,ok,0.016692606004298276,0.02625019665244949,0.10734896903059404,0
sinusoidal__uneven_clean,pnd_tvr,0.05280930001754314,200,ok,0.015433362591920746,0.027258744192911133,0.20348017616264968,0
sinusoidal__uneven_gaussian,drv_savgol,0.15546010003890842,200,ok,0.045224476925983075,0.05937451817001889,0.24351599644787703,5
sinusoidal__uneven_gaussian,drv_spline,0.009808900067582726,200,ok,0.07017029615171955,0.08925118113667775,0.20626798035108784,2
sinusoidal__uneven_gaussian,drv_kalman,0.07553949998691678,200,ok,0.05870844374282786,0.09554180235413241,0.6108791937853677,0
sinusoidal__uneven_gaussian,pnd_savgol,0.008008299977518618,200,ok,0.0833268468412332,0.12732296383396763,0.8349962903580508,1
sinusoidal__uneven_gaussian,pnd_butter,0.0015666999388486147,200,ok,0.056942867484968504,0.09612775965940719,0.62228534519093,1
sinusoidal__uneven_gaussian,pnd_spectral,0.0008432000176981091,200,ok,0.1560916317804066,0.33418114394155396,1.9909268492968633,1
sinusoidal__uneven_gaussian,pnd_median,0.0008723000064492226,200,ok,0.3380153959453138,0.4312140690567936,1.380039856061342,1
sinusoidal__uneven_gaussian,pnd_tvr,0.06287180003710091,200,ok,0.18790559292872494,0.2355530093772259,0.6515737924897298,1
sinusoidal__uneven_uniformnoise,drv_savgol,0.15503699996042997,200,ok,0.042480277514906406,0.04885754521419483,0.11162384532345504,5
sinusoidal__uneven_uniformnoise,drv_spline,0.008600700064562261,200,ok,0.1402151301475741,0.26424662928456055,1.5758424604352572,2
sinusoidal__uneven_uniformnoise,drv_kalman,0.06812260008882731,200,ok,0.049618946462617705,0.0929530089547959,0.5699180534966115,0
sinusoidal__uneven_uniformnoise,pnd_savgol,0.00808090006466955,200,ok,0.06601980165479947,0.07853698482114177,0.25951539986346406,1
sinusoidal__uneven_uniformnoise,pnd_butter,0.0015352999325841665,200,ok,0.04544773204002867,0.0738628266499451,0.49225806478122514,1
sinusoidal__uneven_uniformnoise,pnd_spectral,0.0007920999778434634,200,ok,0.144334083062188,0.33593592700325364,1.9685160215031388,1
sinusoidal__uneven_uniformnoise,pnd_median,0.0006581000052392483,200,ok,0.22786936704416,0.29396453254430616,1.7735206753197827,0
sinusoidal__uneven_uniformnoise,pnd_tvr,0.058048299979418516,200,ok,0.12376678352542424,0.16035749523658224,0.4699461965112861,1
sinusoidal__uneven_outliers,drv_savgol,0.1561758000170812,200,ok,0.4666587130218733,0.5343269694460735,1.226447222499388,7
sinusoidal__uneven_outliers,drv_spline,0.008929400006309152,200,ok,3.988552024936145,11.864022598036836,66.78628846557542,5
sinusoidal__uneven_outliers,drv_kalman,0.08570379996672273,200,ok,0.4211890346459857,0.5684073939578077,1.8189763963348367,1
sinusoidal__uneven_outliers,pnd_savgol,0.00911029998678714,200,ok,0.44810734547374226,0.5245191535103628,1.2149361154534164,3
sinusoidal__uneven_outliers,pnd_butter,0.0016114999307319522,200,ok,0.3458995502335266,0.4368866862755066,1.435779922381046,0
sinusoidal__uneven_outliers,pnd_spectral,0.0007804000051692128,200,ok,0.38060238620952946,0.5113108314730294,1.6670636712379312,0
sinusoidal__uneven_outliers,pnd_median,0.0006371999625116587,200,ok,0.21514864399731334,0.4612964371766837,2.3218209891111603,1
sinusoidal__uneven_outliers,pnd_tvr,0.07455789996311069,200,ok,1.6549361621384429,3.6556912681032783,18.61828453134418,2
sinusoidal__missing_noisy,drv_savgol,0.12289799994323403,156,ok,0.04765250248034921,0.07602955405977545,0.6365233406389825,5
sinusoidal__missing_noisy,drv_spline,0.007386900018900633,156,ok,0.11520858143991901,0.1903361393247831,1.1290530709933408,2
sinusoidal__missing_noisy,drv_kalman,0.05975029990077019,156,ok,0.058642509021578526,0.10122796343291386,0.666252875002868,0
sinusoidal__missing_noisy,pnd_savgol,0.008161199977621436,156,ok,0.07820404472086184,0.108879127726709,0.6300457759861353,1
sinusoidal__missing_noisy,pnd_butter,0.0017510000616312027,156,ok,0.051267714022489384,0.09321307370800444,0.622144648474662,1
sinusoidal__missing_noisy,pnd_spectral,0.0009709000587463379,156,ok,0.14277664310719668,0.2971330513857589,2.2711541098505634,2
sinusoidal__missing_noisy,pnd_median,0.0006210999563336372,156,ok,0.29184656784950674,0.3682799622472792,1.2182639714043835,0
sinusoidal__missing_noisy,pnd_tvr,0.05098329996690154,156,ok,0.17522736189093033,0.21941668709408668,0.6268943437211423,1
exponential__clean_uniform,drv_savgol,0.1544042999157682,200,ok,1.4666415996381077e-06,7.295237711733476e-06,5.787444621319082e-05,1
exponential__clean_uniform,drv_spline,0.005930199986323714,200,ok,0.01502985167447918,0.02264886985234119,0.1156545603603103,0
exponential__clean_uniform,drv_kalman,0.07874789997003973,200,ok,0.010329158767745381,0.05887416427225558,0.5918754985683883,0
exponential__clean_uniform,pnd_savgol,0.00903620000462979,200,ok,0.0016658594027001187,0.009155041556092708,0.1226195080805148,0
exponential__clean_uniform,pnd_butter,0.0015457000117748976,200,ok,0.0005269439172865764,0.0038335548253967773,0.05093778082334666,3
exponential__clean_uniform,pnd_spectral,0.0007869999390095472,200,ok,0.3348182837570766,1.0493875858338058,7.945085042936455,1
exponential__clean_uniform,pnd_median,0.0006739000091329217,200,ok,0.11461629207951261,0.9730519954883574,9.27232654843381,0
exponential__clean_uniform,pnd_tvr,0.11790920002385974,200,ok,0.0036583660652127936,0.02742137681442198,0.3365900491591578,0
exponential__uneven_clean,drv_savgol,0.15553880005609244,200,ok,7.699759727713418e-06,1.3154276728504101e-05,6.200621101726256e-05,1
exponential__uneven_clean,drv_spline,0.006197099923156202,200,ok,0.01499159095629643,0.022710834587523748,0.11827847307378825,0
exponential__uneven_clean,drv_kalman,0.07412590004969388,200,ok,0.010033048201494048,0.058058350402559265,0.5772270457723021,0
exponential__uneven_clean,pnd_savgol,0.009228000068105757,200,ok,0.0021389166956866977,0.01081415636112326,0.13237539740192794,0
exponential__uneven_clean,pnd_butter,0.0016667000018060207,200,ok,0.0012733736873757782,0.00431507607740597,0.03591332561076932,2
exponential__uneven_clean,pnd_spectral,0.0008472999325022101,200,ok,0.3310367986935248,1.3110756298437414,12.508650767860942,2
exponential__uneven_clean,pnd_median,0.0007001999765634537,200,ok,0.11518451730806577,0.9663569245264727,9.27232654843381,0
exponential__uneven_clean,pnd_tvr,0.11949690000619739,200,ok,0.006241564412364064,0.030240816853484367,0.34384011304646656,0
exponential__uneven_gaussian,drv_savgol,0.15467109996825457,200,ok,0.020575638364404715,0.0321377832312833,0.19591918565183875,7
exponential__uneven_gaussian,drv_spline,0.00960649992339313,200,ok,0.012071480936621333,0.019020940270367468,0.11212756245798694,2
exponential__uneven_gaussian,drv_kalman,0.0785648999735713,200,ok,0.044092400260307814,0.09466223423035276,0.7974948594136713,1
exponential__uneven_gaussian,pnd_savgol,0.00855759996920824,200,ok,0.034821941361360347,0.08222257521292707,0.6997075167803484,3
exponential__uneven_gaussian,pnd_butter,0.0015882999869063497,200,ok,0.0695616923683505,0.1320906230213804,0.9243421648418497,1
exponential__uneven_gaussian,pnd_spectral,0.0007884000660851598,200,ok,0.3400304049965628,0.9204992418573776,5.754078662069185,0
